text,category
I am diabetic and want to plan my diet,diabetes
soft foods for typhoid recovery please help.,typhoid
General wellness meal suggestions,general_health
"Hi, Healthy food for diabetic patients Please help.",diabetes
"Hi, Basic health focused dinner ideas Please help.",general_health
what should i eat if i have diabetes? please help.,diabetes
"Hi, I am trying to manage my weight with healthy food",weight_management
I need a sodium restricted diet,low_sodium
Low calorie breakfast options,weight_management
"Hi, I need more protein in my diet",high_protein
"hi, diet with minimum sodium content",low_sodium
"Hi, I want a high protein dinner plan for muscle gain",high_protein
"hi, i need a sodium restricted diet",low_sodium
"Hi, I suffer from high BP and need healthy food",hypertension
Meals for weight management and fat loss,weight_management
"Hi, Foods to eat when you have jaundice Please help.",jaundice
I just want a healthy lunch plan,general_health
"No animal products, healthy vegan food",vegan
i need a nutritious daily diet,general_health
Best diet to cure jaundice quickly Please help.,jaundice
Healthy diet for maintaining my current lifestyle,general_health
"hi, no animal products, healthy vegan food",vegan
What to eat during typhoid?,typhoid
"hi, pure vegan diet plan",vegan
"Hi, I need more protein in my diet",high_protein
"hi, i need a sodium restricted diet",low_sodium
"Hi, I need a breakfast plan for jaundice patient",jaundice
I just want a healthy weekly plan,general_health
I am diabetic and want to plan my diet Please help.,diabetes
"Hi, A balanced diet for everyday living",balanced_diet
Heart friendly meals Please help.,heart_healthy
Healthy food for diabetic patients Please help.,diabetes
protein rich foods for my workout,high_protein
Looking for sugar-free lunch options for diabetes Please help.,diabetes
I suffer from high BP and need healthy food,hypertension
"i don't eat meat, need a pure vegetarian diet",vegetarian
Foods to eat when you have jaundice Please help.,jaundice
i suffer from high bp and need healthy food,hypertension
What to eat to lower blood pressure?,hypertension
I suffer from high BP and need healthy food,hypertension
"Hi, Healthy low salt food",low_sodium
Balanced diet with all nutrients Please help.,balanced_diet
diet plan for typhoid patient,typhoid
General wellness meal suggestions,general_health
I am diabetic and want to plan my diet,diabetes
"Hi, Low sodium food for high blood pressure",hypertension
"Hi, Low sodium food for high blood pressure",hypertension
Give me a general healthy diet,general_health
General wellness meal suggestions Please help.,general_health
Low salt diet plan,low_sodium
Protein rich foods for my workout,high_protein
Can you suggest a healthy meal plan for someone with diabetes? Please help.,diabetes
"Hi, Best daily options when suffering from typhoid",typhoid
Looking for sugar-free snack options for diabetes Please help.,diabetes
I suffer from high BP and need healthy food,hypertension
I want a high protein snack plan for muscle gain,high_protein
Plant based but not vegan meals,vegetarian
Diet plan for hypertension,hypertension
I want a high protein daily plan for muscle gain,high_protein
meals for hypertension control please help.,hypertension
Healthy food for diabetic patients,diabetes
"Hi, Foods to eat when you have jaundice",jaundice
"hi, i have diabetes and need a daily plan",diabetes
"Hi, I need a nutritious daily diet",general_health
diet with minimum sodium content,low_sodium
What should I eat if I have diabetes?,diabetes
Plant based but not vegan meals,vegetarian
vegan diet plan for the whole week please help.,vegan
I want a heart healthy weekly plan,heart_healthy
What should I eat during jaundice recovery?,jaundice
"Hi, Veg food recommendations please Please help.",vegetarian
I need food that is good for my heart,heart_healthy
Basic health focused daily ideas,general_health
i have diabetes and need a breakfast plan,diabetes
Weight reduction friendly weekly suggestions Please help.,weight_management
protein heavy food recommendations,high_protein
Diet plan for typhoid patient,typhoid
"Hi, I want a mix of carbs, proteins, and fats Please help.",balanced_diet
Soft foods for typhoid recovery Please help.,typhoid
"Hi, I want to eat clean and stay fit Please help.",general_health
"i don't eat meat, need a pure vegetarian diet",vegetarian
Diet plan for typhoid patient Please help.,typhoid
"Hi, Vegan lunch options for healthy living",vegan
Healthy and balanced daily meals Please help.,balanced_diet
"Hi, I need more protein in my diet",high_protein
i need a highly nutritious diet for typhoid please help.,typhoid
"Hi, Vegetarian options for a healthy lifestyle",vegetarian
"Hi, A balanced diet for everyday living",balanced_diet
I need a perfectly balanced daily plan Please help.,balanced_diet
"Hi, Give me a general healthy diet Please help.",general_health
"Hi, I need food that is good for my heart",heart_healthy
Well rounded balanced diet,balanced_diet
"I don't eat meat, need a pure vegetarian diet Please help.",vegetarian
I want a diet plan for my hypertension,hypertension
What to eat during typhoid?,typhoid
i need a highly nutritious diet for typhoid please help.,typhoid
Can you suggest a healthy meal plan for someone with diabetes?,diabetes
"Hi, Low cholesterol heart healthy diet",heart_healthy
I am recovering from typhoid fever,typhoid
"hi, i am vegan and need a plant-based daily plan",vegan
Foods to eat when you have jaundice,jaundice
Meals with very little salt,low_sodium
"hi, i don't eat meat, need a pure vegetarian diet",vegetarian
A balanced diet for everyday living,balanced_diet
"Hi, Healthy diet for maintaining my weight Please help.",weight_management
I want a high protein daily plan for muscle gain,high_protein
Vegetarian options for a healthy lifestyle,vegetarian
What to eat to lower blood pressure? Please help.,hypertension
"Hi, Low calorie weekly options",weight_management
Diet for liver recovery from jaundice Please help.,jaundice
I need a calorie deficit diet plan Please help.,weight_management
I have typhoid fever and need a lunch plan,typhoid
Protein heavy food recommendations,high_protein
"i want to lose weight, give me a breakfast plan",weight_management
"Hi, I need food that is good for my heart",heart_healthy
soft foods for typhoid recovery please help.,typhoid
diet plan for hypertension please help.,hypertension
I just want a healthy dinner plan,general_health
"Hi, Cardio friendly diet plan",heart_healthy
"hi, strictly vegan meal suggestions",vegan
I need a vegetarian weekly plan without eggs,vegetarian
Healthy and balanced daily meals,balanced_diet
"Hi, Balanced diet with all nutrients",balanced_diet
a balanced diet for everyday living,balanced_diet
Protein heavy food recommendations Please help.,high_protein
meals for weight management and fat loss please help.,weight_management
Low sodium food for high blood pressure Please help.,hypertension
i want to eat clean and stay fit please help.,general_health
Vegetarian options for a healthy lifestyle Please help.,vegetarian
"Hi, I need a lunch plan for jaundice patient",jaundice
Plant based but not vegan meals,vegetarian
"Hi, Plant based but not vegan meals",vegetarian
meals with very little salt please help.,low_sodium
I need a calorie deficit diet plan Please help.,weight_management
Foods to eat when you have jaundice,jaundice
Protein rich foods for my workout,high_protein
low cholesterol heart healthy diet please help.,heart_healthy
"I want to lose weight, give me a daily plan Please help.",weight_management
"hi, complete balanced nutrition plan please help.",balanced_diet
Low cholesterol heart healthy diet,heart_healthy
i suffer from high bp and need healthy food,hypertension
"Hi, I need food that is good for my heart",heart_healthy
What to eat to lower blood pressure?,hypertension
I need a nutritious daily diet Please help.,general_health
I want a diet plan for my hypertension,hypertension
"Hi, Diabetic friendly meal suggestions please Please help.",diabetes
Best lunch options when suffering from typhoid Please help.,typhoid
Weight reduction friendly snack suggestions Please help.,weight_management
Diet plan for typhoid patient Please help.,typhoid
I need more protein in my diet,high_protein
"Hi, What to eat to lower blood pressure? Please help.",hypertension
Best diet to cure jaundice quickly Please help.,jaundice
"hi, i want to lose weight, give me a lunch plan",weight_management
"Hi, I want to eat clean and stay fit",general_health
Best diet to cure jaundice quickly,jaundice
I have typhoid fever and need a dinner plan,typhoid
"Hi, I want to eat clean and stay fit",general_health
I am a vegetarian and want a dinner plan,vegetarian
"Hi, I want a low sodium breakfast plan",low_sodium
Diet plan for weight loss Please help.,weight_management
Best daily options when suffering from typhoid,typhoid
Plant based but not vegan meals Please help.,vegetarian
Looking for sugar-free breakfast options for diabetes Please help.,diabetes
"Hi, Diet plan for weight loss Please help.",weight_management
I want a heart healthy lunch plan,heart_healthy
High protein diet plan Please help.,high_protein
"Hi, I am vegan and need a plant-based snack plan Please help.",vegan
I want a high protein breakfast plan for muscle gain Please help.,high_protein
"I want a mix of carbs, proteins, and fats",balanced_diet
Cardio friendly diet plan Please help.,heart_healthy
"Hi, General wellness meal suggestions",general_health
salt free or low sodium meals please help.,low_sodium
"Hi, Protein rich foods for my workout",high_protein
I am vegan and need a plant-based snack plan Please help.,vegan
Low cholesterol heart healthy diet Please help.,heart_healthy
"Hi, I need a nutritious daily diet",general_health
What should I eat during jaundice recovery?,jaundice
i need a highly nutritious diet for typhoid,typhoid
Strictly vegan meal suggestions,vegan
"Hi, Low cholesterol heart healthy diet",heart_healthy
Suggest heart healthy snack options Please help.,heart_healthy
what should i eat if i have diabetes?,diabetes
Balanced diet with all nutrients,balanced_diet
Complete balanced nutrition plan,balanced_diet
I need a lunch plan for jaundice patient,jaundice
"Hi, Blood pressure friendly lunch ideas Please help.",hypertension
suggest a high protein breakfast option,high_protein
Meals for weight management and fat loss Please help.,weight_management
"Hi, Protein rich foods for my workout Please help.",high_protein
low salt diet plan,low_sodium
"Hi, A balanced diet for everyday living",balanced_diet
I need food that is good for my heart Please help.,heart_healthy
"Hi, Low calorie lunch options",weight_management
Foods to eat when you have jaundice Please help.,jaundice
Healthy diet for maintaining my current lifestyle,general_health
I am trying to manage my weight with healthy food,weight_management
Diet with minimum sodium content,low_sodium
I need a calorie deficit diet plan,weight_management
Vegan daily options for healthy living Please help.,vegan
Vegetarian options for a healthy lifestyle,vegetarian
"Hi, Healthy and balanced daily meals",balanced_diet
I need a nutritious daily diet,general_health
Balanced diet with all nutrients,balanced_diet
Meals for weight management and fat loss,weight_management
Vegan diet plan for the whole week Please help.,vegan
Weight reduction friendly dinner suggestions Please help.,weight_management
I am recovering from typhoid fever,typhoid
Diet for liver recovery from jaundice,jaundice
"Hi, Foods to eat when you have jaundice",jaundice
diet for good cardiovascular health,heart_healthy
I need more protein in my diet,high_protein
"hi, protein rich foods for my workout",high_protein
Healthy food for diabetic patients Please help.,diabetes
"Hi, I want a high protein dinner plan for muscle gain Please help.",high_protein
Plant based vegan meals only,vegan
Vegetarian options for a healthy lifestyle,vegetarian
Blood pressure friendly lunch ideas,hypertension
Suggest heart healthy breakfast options Please help.,heart_healthy
I have jaundice and need a diet plan,jaundice
Healthy veg food only Please help.,vegetarian
I need a highly nutritious diet for typhoid Please help.,typhoid
what to eat to lower blood pressure?,hypertension
Vegan diet plan for the whole week,vegan
"hi, suggest low sodium snack options",low_sodium
Diabetic friendly meal suggestions please,diabetes
meals for hypertension control please help.,hypertension
"Hi, General wellness meal suggestions",general_health
pure vegan diet plan please help.,vegan
"Hi, Looking for sugar-free lunch options for diabetes",diabetes
Diet for good cardiovascular health,heart_healthy
"Hi, Diet with minimum sodium content Please help.",low_sodium
"Hi, I need a weekly plan for jaundice patient",jaundice
"Hi, Protein rich foods for my workout",high_protein
Vegan diet plan for the whole week,vegan
Suggest a balanced breakfast option Please help.,balanced_diet
healthy and balanced daily meals,balanced_diet
I want a low sodium dinner plan,low_sodium
Low calorie lunch options Please help.,weight_management
"hi, i am recovering from typhoid fever",typhoid
Salt free or low sodium meals Please help.,low_sodium
Cardio friendly diet plan,heart_healthy
I need a calorie deficit diet plan,weight_management
"I don't eat meat, need a pure vegetarian diet Please help.",vegetarian
"Hi, Suggest low sodium weekly options",low_sodium
Best diet to cure jaundice quickly,jaundice
I need more protein in my diet,high_protein
Plant based vegan meals only Please help.,vegan
Diet with minimum sodium content Please help.,low_sodium
I want a heart healthy daily plan Please help.,heart_healthy
I have diabetes and need a snack plan,diabetes
I need a perfectly balanced weekly plan,balanced_diet
Simple and healthy food plan,general_health
can you suggest a healthy meal plan for someone with diabetes?,diabetes
I need a dairy-free and meat-free vegan diet,vegan
plant based vegan meals only please help.,vegan
Protein heavy food recommendations,high_protein
"Hi, Complete balanced nutrition plan Please help.",balanced_diet
Give me a general healthy diet,general_health
Give me a general healthy diet,general_health
I just want a healthy weekly plan,general_health
"hi, what should i eat if i have diabetes?",diabetes
I want to eat clean and stay fit,general_health
I want a heart healthy daily plan,heart_healthy
I am trying to manage my weight with healthy food,weight_management
Healthy low salt food,low_sodium
"Hi, Meals for weight management and fat loss",weight_management
What to eat to lower blood pressure?,hypertension
"Hi, I have diabetes and need a daily plan",diabetes
"Hi, Meals with very little salt",low_sodium
Diet with minimum sodium content,low_sodium
Protein heavy food recommendations,high_protein
"Hi, Healthy and balanced daily meals",balanced_diet
Can you suggest a healthy meal plan for someone with diabetes?,diabetes
"Hi, Diet for liver recovery from jaundice Please help.",jaundice
I have typhoid fever and need a breakfast plan,typhoid
Soft foods for typhoid recovery,typhoid
Healthy diet for maintaining my weight,weight_management
"Hi, Veg food recommendations please",vegetarian
"Hi, Healthy and balanced daily meals",balanced_diet
healthy veg food only,vegetarian
"Hi, Veg food recommendations please",vegetarian
Diet plan for typhoid patient,typhoid
I suffer from high BP and need healthy food,hypertension
What to eat during typhoid? Please help.,typhoid
Low calorie dinner options Please help.,weight_management
Vegetarian diet plan for the week,vegetarian
I am trying to manage my weight with healthy food,weight_management
"Hi, I need a sodium restricted diet",low_sodium
Suggest a balanced snack option,balanced_diet
A balanced diet for everyday living,balanced_diet
I need a dinner plan for jaundice patient,jaundice
"hi, healthy low salt food please help.",low_sodium
"Hi, I am a vegetarian and want a dinner plan",vegetarian
I want a diet plan for my hypertension Please help.,hypertension
I need a low glycemic index diet,diabetes
Diet plan for typhoid patient Please help.,typhoid
"hi, i am vegan and need a plant-based lunch plan",vegan
best diet to cure jaundice quickly,jaundice
"Hi, Foods to eat when you have jaundice",jaundice
Low cholesterol heart healthy diet Please help.,heart_healthy
protein heavy food recommendations,high_protein
low salt diet plan please help.,low_sodium
I need a lunch plan for jaundice patient Please help.,jaundice
Diet plan for typhoid patient,typhoid
Healthy low salt food,low_sodium
Cardio friendly diet plan,heart_healthy
I need food that is good for my heart,heart_healthy
"hi, weight reduction friendly snack suggestions",weight_management
"Hi, Best diet to cure jaundice quickly",jaundice
Can you suggest a healthy meal plan for someone with diabetes?,diabetes
Jaundice friendly daily suggestions Please help.,jaundice
High protein diet plan,high_protein
What should I eat if I have diabetes?,diabetes
Diet plan for typhoid patient,typhoid
I need a nutritious daily diet,general_health
Suggest a balanced snack option Please help.,balanced_diet
"Hi, Veg food recommendations please Please help.",vegetarian
"Hi, Suggest heart healthy daily options",heart_healthy
"Hi, Suggest a balanced daily option",balanced_diet
"Hi, Suggest heart healthy breakfast options",heart_healthy
Vegan daily options for healthy living Please help.,vegan
Diet for liver recovery from jaundice,jaundice
"Hi, I am trying to manage my weight with healthy food",weight_management
low salt diet plan please help.,low_sodium
Diet for liver recovery from jaundice Please help.,jaundice
"Hi, I am trying to manage my weight with healthy food",weight_management
i want to eat clean and stay fit please help.,general_health
"Hi, I need a nutritious daily diet Please help.",general_health
Cardio friendly diet plan,heart_healthy
"hi, can you suggest a healthy meal plan for someone with diabetes?",diabetes
What to eat during typhoid? Please help.,typhoid
"hi, healthy and balanced daily meals",balanced_diet
Meals for hypertension control,hypertension
Meals with very little salt Please help.,low_sodium
Low calorie weekly options,weight_management
"Hi, Plant based but not vegan meals Please help.",vegetarian
"hi, meals for hypertension control please help.",hypertension
"hi, balanced diet with all nutrients",balanced_diet
Healthy and balanced daily meals,balanced_diet
"hi, i need a calorie deficit diet plan please help.",weight_management
Looking for sugar-free daily options for diabetes,diabetes
Balanced diet with all nutrients Please help.,balanced_diet
"I want to lose weight, give me a snack plan",weight_management
vegan daily options for healthy living please help.,vegan
Diet with minimum sodium content,low_sodium
"Hi, Diet for bodybuilding with high protein",high_protein
Healthy low salt food,low_sodium
Can you suggest a healthy meal plan for someone with diabetes?,diabetes
best diet to cure jaundice quickly,jaundice
"Hi, What should I eat if I have diabetes?",diabetes
"No animal products, healthy vegan food",vegan
Healthy veg food only,vegetarian
"hi, vegetarian diet plan for the week please help.",vegetarian
"Hi, Pure vegan diet plan",vegan
"Hi, Diabetic friendly meal suggestions please",diabetes
Basic health focused snack ideas,general_health
Balanced diet with all nutrients,balanced_diet
Can you suggest a healthy meal plan for someone with diabetes?,diabetes
healthy and balanced daily meals please help.,balanced_diet
"Hi, I have typhoid fever and need a weekly plan",typhoid
I have diabetes and need a weekly plan,diabetes
I need food that is good for my heart,heart_healthy
I have jaundice and need a diet plan,jaundice
"hi, i want a heart healthy snack plan",heart_healthy
Jaundice friendly lunch suggestions,jaundice
i need a vegetarian snack plan without eggs please help.,vegetarian
Low salt diet plan,low_sodium
"I want to lose weight, give me a breakfast plan Please help.",weight_management
"hi, i need food that is good for my heart",heart_healthy
"No animal products, healthy vegan food Please help.",vegan
Cardio friendly diet plan,heart_healthy
Diet plan for hypertension,hypertension
"Hi, I have jaundice and need a diet plan",jaundice
Balanced diet with all nutrients,balanced_diet
Simple and healthy food plan,general_health
"Hi, Vegetarian options for a healthy lifestyle",vegetarian
i have typhoid fever and need a breakfast plan please help.,typhoid
i want a high protein breakfast plan for muscle gain please help.,high_protein
I need a vegetarian daily plan without eggs,vegetarian
Diabetic friendly meal suggestions please Please help.,diabetes
Protein rich foods for my workout,high_protein
"i am suffering from jaundice, give me healthy food options",jaundice
Suggest a high protein lunch option,high_protein
"Hi, Well rounded balanced diet",balanced_diet
Suggest low sodium lunch options,low_sodium
"Hi, Diet for liver recovery from jaundice Please help.",jaundice
"Hi, I need a dairy-free and meat-free vegan diet",vegan
"Hi, Complete balanced nutrition plan Please help.",balanced_diet
"Hi, I need a dairy-free and meat-free vegan diet Please help.",vegan
"Hi, Cardio friendly diet plan",heart_healthy
i need a nutritious daily diet,general_health
"i want a mix of carbs, proteins, and fats",balanced_diet
I need a low glycemic index diet,diabetes
Diet plan for weight loss,weight_management
"Hi, I just want a healthy breakfast plan",general_health
I want a heart healthy lunch plan,heart_healthy
"Hi, I just want a healthy snack plan",general_health
"Hi, Healthy diet for maintaining my current lifestyle",general_health
"i don't eat meat, need a pure vegetarian diet",vegetarian
Plant based vegan meals only,vegan
I want a diet plan for my hypertension,hypertension
"Hi, A balanced diet for everyday living",balanced_diet
Diet for bodybuilding with high protein Please help.,high_protein
"No animal products, healthy vegan food Please help.",vegan
"Hi, Meals for hypertension control",hypertension
i have typhoid fever and need a weekly plan,typhoid
Weight reduction friendly breakfast suggestions Please help.,weight_management
"hi, vegetarian options for a healthy lifestyle please help.",vegetarian
I need a snack plan for jaundice patient,jaundice
Salt free or low sodium meals,low_sodium
"Hi, Best weekly options when suffering from typhoid",typhoid
"Hi, Diet with minimum sodium content Please help.",low_sodium
"Hi, I want a low sodium breakfast plan",low_sodium
"Hi, Vegetarian diet plan for the week",vegetarian
I want a high protein dinner plan for muscle gain Please help.,high_protein
Foods to eat when you have jaundice,jaundice
Diabetic friendly meal suggestions please,diabetes
Diet plan for typhoid patient Please help.,typhoid
"Hi, I have diabetes and need a dinner plan Please help.",diabetes
"Hi, Suggest low sodium weekly options",low_sodium
Diet for liver recovery from jaundice,jaundice
"Hi, I am a vegetarian and want a dinner plan Please help.",vegetarian
"Hi, Low salt diet plan Please help.",low_sodium
Meals for hypertension control,hypertension
"Hi, I need a calorie deficit diet plan",weight_management
What to eat during typhoid?,typhoid
Complete balanced nutrition plan Please help.,balanced_diet
Healthy food for diabetic patients,diabetes
Suggest a balanced breakfast option,balanced_diet
weight reduction friendly lunch suggestions,weight_management
I need a nutritious daily diet,general_health
I have jaundice and need a diet plan Please help.,jaundice
I need a highly nutritious diet for typhoid,typhoid
Low calorie weekly options,weight_management
I need food that is good for my heart,heart_healthy
"No animal products, healthy vegan food",vegan
"Hi, Vegan diet plan for the whole week Please help.",vegan
Basic health focused breakfast ideas,general_health
I need a dairy-free and meat-free vegan diet,vegan
I have typhoid fever and need a daily plan,typhoid
"Hi, Meals with lots of protein",high_protein
I need a perfectly balanced lunch plan,balanced_diet
Meals with very little salt,low_sodium
Weight reduction friendly lunch suggestions,weight_management
I just want a healthy snack plan,general_health
healthy low salt food please help.,low_sodium
I need a vegetarian snack plan without eggs,vegetarian
I just want a healthy weekly plan,general_health
"I want a mix of carbs, proteins, and fats",balanced_diet
Foods to eat when you have jaundice,jaundice
Pure vegan diet plan,vegan
weight reduction friendly dinner suggestions,weight_management
Diet for good cardiovascular health Please help.,heart_healthy
A balanced diet for everyday living Please help.,balanced_diet
I need food that is good for my heart,heart_healthy
"Hi, Veg food recommendations please",vegetarian
Salt free or low sodium meals,low_sodium
Low salt diet plan,low_sodium
Blood pressure friendly snack ideas,hypertension
"Hi, Healthy and balanced daily meals",balanced_diet
Foods to eat when you have jaundice,jaundice
A balanced diet for everyday living,balanced_diet
Suggest low sodium lunch options,low_sodium
I have high blood pressure and want a weekly plan,hypertension
i need a dairy-free and meat-free vegan diet please help.,vegan
Plant based vegan meals only,vegan
"Hi, I need a sodium restricted diet",low_sodium
"Hi, Give me a general healthy diet",general_health
Diet for bodybuilding with high protein,high_protein
i am recovering from typhoid fever,typhoid
Foods to eat when you have jaundice,jaundice
I am a vegetarian and want a lunch plan Please help.,vegetarian
I need more protein in my diet,high_protein
I need a vegetarian weekly plan without eggs Please help.,vegetarian
Vegetarian options for a healthy lifestyle,vegetarian
I want a heart healthy daily plan Please help.,heart_healthy
"Hi, Plant based vegan meals only",vegan
"I want to lose weight, give me a snack plan",weight_management
"Hi, I need a nutritious daily diet",general_health
Simple and healthy food plan,general_health
"Hi, Plant based vegan meals only Please help.",vegan
"Hi, Healthy diet for maintaining my current lifestyle Please help.",general_health
"Hi, I am suffering from jaundice, give me healthy food options",jaundice
I need more protein in my diet Please help.,high_protein
"Hi, Healthy veg food only",vegetarian
I want to eat clean and stay fit,general_health
"hi, meals for maintaining a healthy heart",heart_healthy
what to eat to lower blood pressure?,hypertension
Simple and healthy food plan,general_health
"i want to lose weight, give me a snack plan",weight_management
"No animal products, healthy vegan food",vegan
Heart friendly meals,heart_healthy
I need a nutritious daily diet Please help.,general_health
"No animal products, healthy vegan food",vegan
I need a nutritious daily diet,general_health
"Hi, I am trying to manage my weight with healthy food",weight_management
"Hi, Pure vegan diet plan",vegan
I want a high protein lunch plan for muscle gain Please help.,high_protein
Low sodium food for high blood pressure,hypertension
Suggest a high protein breakfast option Please help.,high_protein
"Hi, Low cholesterol heart healthy diet",heart_healthy
Meals for maintaining a healthy heart Please help.,heart_healthy
"Hi, Strictly vegan meal suggestions",vegan
i need a nutritious daily diet,general_health
A balanced diet for everyday living,balanced_diet
I need food that is good for my heart,heart_healthy
Jaundice friendly lunch suggestions Please help.,jaundice
"Hi, No animal products, healthy vegan food Please help.",vegan
I need more protein in my diet,high_protein
Can you suggest a healthy meal plan for someone with diabetes?,diabetes
"Hi, Simple and healthy food plan",general_health
General wellness meal suggestions,general_health
vegan daily options for healthy living please help.,vegan
I need a sodium restricted diet,low_sodium
low cholesterol heart healthy diet,heart_healthy
I want a diet plan for my hypertension Please help.,hypertension
Blood pressure friendly dinner ideas,hypertension
I need more protein in my diet,high_protein
A balanced diet for everyday living,balanced_diet
"Hi, Diet for liver recovery from jaundice Please help.",jaundice
Vegetarian diet plan for the week Please help.,vegetarian
I am recovering from typhoid fever,typhoid
Blood pressure friendly daily ideas Please help.,hypertension
Meals for hypertension control Please help.,hypertension
I suffer from high BP and need healthy food,hypertension
High protein diet plan Please help.,high_protein
i have diabetes and need a dinner plan,diabetes
"Hi, What to eat to lower blood pressure? Please help.",hypertension
"hi, meals with very little salt",low_sodium
I am a vegetarian and want a daily plan,vegetarian
"Hi, Suggest low sodium daily options",low_sodium
"Hi, Meals with lots of protein",high_protein
general wellness meal suggestions,general_health
Low sodium food for high blood pressure,hypertension
Weight reduction friendly weekly suggestions,weight_management
Can you suggest a healthy meal plan for someone with diabetes?,diabetes
"No animal products, healthy vegan food",vegan
Meals for hypertension control,hypertension
I need a dinner plan for jaundice patient,jaundice
"Hi, Soft foods for typhoid recovery",typhoid
"Hi, I need a calorie deficit diet plan",weight_management
Suggest a balanced lunch option Please help.,balanced_diet
I need a nutritious daily diet,general_health
diet for bodybuilding with high protein,high_protein
I have high blood pressure and want a lunch plan Please help.,hypertension
Can you suggest a healthy meal plan for someone with diabetes?,diabetes
Plant based vegan meals only,vegan
Suggest heart healthy weekly options Please help.,heart_healthy
"hi, soft foods for typhoid recovery",typhoid
Diet with minimum sodium content,low_sodium
Jaundice friendly dinner suggestions,jaundice
low sodium food for high blood pressure,hypertension
Protein heavy food recommendations Please help.,high_protein
Low salt diet plan,low_sodium
i am a vegetarian and want a daily plan,vegetarian
Diet for liver recovery from jaundice,jaundice
Soft foods for typhoid recovery,typhoid
I have high blood pressure and want a dinner plan,hypertension
Balanced diet with all nutrients,balanced_diet
"I want to lose weight, give me a snack plan",weight_management
"Hi, Vegetarian options for a healthy lifestyle Please help.",vegetarian
"hi, vegan weekly options for healthy living please help.",vegan
"Hi, Meals for weight management and fat loss Please help.",weight_management
Low salt diet plan,low_sodium
I need a perfectly balanced dinner plan,balanced_diet
"Hi, Diet for good cardiovascular health Please help.",heart_healthy
"i am suffering from jaundice, give me healthy food options",jaundice
"Hi, I need a dairy-free and meat-free vegan diet",vegan
